word,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
vô_gia_cư,0,1,0,1,1,1,0,1,0,0
vô_thể,0,0,1,0,1,1,0,0,1,0
vụng_trộm,0,1,1,1,1,1,1,0,0,0
ầm_ỹ,1,1,1,0,0,0,0,0,0,0
ao_ước,1,1,0,1,0,0,1,0,0,0
bà_đỡ,1,1,0,1,0,0,0,0,0,1
bà_mụ,1,1,0,1,0,0,0,0,0,1
ban_nhạc,0,0,0,0,0,0,0,0,0,1
bất_hợp_pháp,0,1,0,0,1,1,0,1,0,0
bất_hợp_tác,0,1,1,1,1,0,0,1,0,0
bất_lợi,0,1,1,0,1,1,0,1,0,0
bất_mãn,0,1,1,0,1,0,0,1,0,0
bất_tử,1,0,0,0,0,0,1,1,0,1
bày_tỏ,1,0,0,1,0,0,1,0,1,1
co_giật,0,1,0,1,1,1,0,0,1,0
co_rút,0,1,0,1,1,1,0,0,1,0
bình_minh,1,0,0,1,0,0,1,0,0,0
bỏ_đi,0,1,0,0,1,1,0,1,0,0
bổ_sung,1,0,0,1,0,0,1,0,1,1
bỏ_trốn,0,1,0,1,0,1,0,0,0,0
bồi_thường,1,0,0,1,0,0,1,0,1,1
bom,0,1,0,0,0,1,0,0,1,0
bù_lại,1,0,0,1,0,0,0,0,0,0
ca_ngợi,1,0,0,1,0,0,1,0,1,1
cả_tin,0,1,0,0,0,1,0,1,0,0
ca_tụng,1,0,0,0,0,0,1,0,1,1
cầm_tù,0,1,1,0,1,1,0,1,0,0
cao_đỉnh,1,0,0,1,0,0,1,0,1,1
cao_trào,1,0,0,1,0,0,1,0,1,1
cay_độc,0,1,1,0,1,1,0,1,0,0
chê,0,1,1,0,1,1,0,1,0,0
chen_chúc,0,1,1,0,1,1,0,1,0,0
chết,0,1,1,0,1,1,0,1,0,0
chết_chóc,0,1,1,0,1,1,0,1,0,0
chết_người,0,1,0,0,1,1,0,1,0,0
chết_tiệt,0,1,1,0,1,1,0,1,0,0
chó_cái,0,1,1,0,1,1,0,1,0,0
chọc_tức,1,1,0,1,0,0,1,0,1,0
chống_đối,0,1,1,0,1,1,0,1,0,0
chống_đối_xã_hội,0,1,1,0,1,1,0,1,0,0
chu_toàn,1,0,0,1,0,0,1,0,1,1
chưa_thực_hiện,0,1,1,1,0,0,0,1,1,0
có_duyên,1,0,0,1,0,0,1,0,1,1
có_hại,0,1,0,0,1,1,0,0,0,0
có_triển_vọng,1,0,0,1,0,0,1,0,1,1
cổ_vũ,1,0,0,1,0,0,1,0,1,1
coi_nhẹ,0,1,1,0,1,1,0,1,0,0
cực_điểm,1,0,0,1,0,0,1,0,1,1
cúng_tế,1,0,0,1,0,0,1,1,0,1
cười_thầm,1,0,0,1,0,0,1,0,1,1
dã_ngoại,1,0,0,1,0,0,1,0,1,1
đẫm_máu,0,1,1,0,1,1,0,1,0,0
đáng_chết_treo,0,1,1,0,1,1,0,1,0,0
đáng_trách,0,1,1,0,1,1,0,1,0,0
đáng_treo_cổ,0,1,1,0,1,1,0,1,0,0
đắt,0,1,0,1,1,0,0,1,1,0
đắt_đỏ,0,1,0,1,1,0,0,1,1,0
đắt_giá,0,1,0,1,1,0,0,1,1,0
đắt_tiền,0,1,0,1,1,0,0,1,1,0
đày,0,1,1,0,1,1,0,1,0,0
đầy_căm_hờn,0,1,1,0,1,1,0,1,0,0
đầy_căm_thù,0,1,1,0,1,1,0,1,0,0
đầy_hứa_hẹn,1,0,0,1,0,0,1,0,1,1
đầy_máu,0,1,1,0,1,1,0,1,0,0
dễ_mắc_lừa,0,1,1,0,1,1,0,1,0,0
đền_bù,1,0,0,1,0,0,1,0,1,1
di_sản,1,0,0,1,0,0,1,0,1,1
đi_theo,1,0,0,1,0,0,1,0,1,1
địa_chấn,0,1,0,1,1,1,0,0,1,0
điên_cuồng,0,1,1,0,1,1,0,0,1,0
đỉnh_cao,1,0,0,1,0,0,1,0,1,1
độc_ác,0,1,1,0,1,1,0,1,0,0
độc_lập,1,0,0,1,0,0,1,0,1,1
đồi_bại,0,1,1,0,1,1,0,1,0,0
động_đất,0,1,0,1,1,1,0,0,1,0
đồng_tình,1,0,0,0,0,1,1,1,0,1
dữ_dội,1,1,1,1,0,0,1,0,0,0
gay_gắt,0,1,1,0,1,1,0,1,0,0
giả_bộ,0,1,1,0,1,0,1,0,1,0
gia_tăng,1,0,0,1,0,1,1,0,1,0
giam_cầm,0,1,1,0,1,1,0,1,0,0
giấu,0,1,0,1,1,0,1,0,1,0
giết_người,0,1,1,0,1,1,0,0,1,0
giọng_trầm_bổng,1,0,1,1,0,0,1,0,1,0
gò_bó,0,1,1,0,1,1,0,1,0,0
hài_cốt,1,1,0,0,1,1,0,0,0,1
hận_thù,0,1,1,0,1,1,0,1,0,0
háo_hức,1,0,0,1,0,0,1,0,1,1
hậu_quả,0,1,1,0,1,1,0,1,0,0
hiến_dâng,1,0,0,1,0,0,1,1,0,1
hiu_quạnh,0,1,1,0,1,1,0,1,0,0
hòa_hiệp,1,0,0,1,0,0,1,0,1,1
hoàn_thiện,1,0,0,1,0,0,1,0,1,1
hoang_vu,0,1,1,0,1,1,0,1,0,0
hung_bạo,0,1,1,0,1,1,0,0,1,0
hung_dữ,1,1,1,1,0,0,1,0,0,0
hung_hãn,0,1,1,0,1,1,0,0,1,0
hung_tợn,0,1,1,0,1,1,0,0,1,0
huyền_diệu,1,0,0,1,0,0,1,0,1,1
huyên_náo,1,1,1,1,0,0,1,0,0,0
hy_vọng,1,0,0,1,0,0,1,0,1,1
kế_nghiệp,1,0,0,1,0,0,1,0,1,1
kế_vị,1,0,0,1,0,0,1,0,1,1
kết_án,0,1,1,0,1,1,0,1,0,0
khắc_nghiệt,0,1,0,1,1,1,0,0,1,0
khát_khao,1,1,0,1,0,0,1,0,0,1
khó_khăn,0,1,1,0,1,1,0,1,0,0
khố_rách_áo_ôm,0,1,0,1,1,1,0,1,0,0
khoan_hồng,1,0,0,1,0,0,1,0,1,1
khốc_liệt,0,1,0,1,1,1,0,0,1,0
không_chắc,0,1,1,0,1,1,0,0,1,0
không_có_tiền,0,1,0,1,1,1,0,1,0,0
không_được_hợp_tác,0,1,1,1,1,0,0,1,0,0
không_được_phối_hợp,0,1,1,1,1,0,0,1,0,0
không_hài_lòng,0,1,1,0,1,1,0,1,0,0
không_kiên_định,0,1,1,0,1,1,0,0,1,0
không_một_xu_dính_túi,0,1,0,1,1,1,0,1,0,0
không_nhà_không_cửa,0,1,0,1,1,1,0,1,0,0
không_thể_chữa_được,0,1,1,0,1,1,0,1,0,0
không_tiền,0,1,0,1,1,1,0,1,0,0
khuyến_khích,1,0,0,1,0,0,1,0,1,1
kín_đáo,1,0,0,1,1,1,1,0,0,0
kin_khủng,0,1,1,0,1,1,0,1,0,0
kinh_khủng,0,1,1,0,1,1,0,1,0,0
lạc_quan,1,0,0,1,0,0,1,0,1,1
làm_ghê_tởm,0,1,1,0,1,1,0,0,1,0
làm_kinh_tởm,0,1,1,0,1,1,0,0,1,0
làm_nô_lệ,0,1,1,0,1,1,0,1,0,0
làm_tởm,0,1,1,0,1,1,0,0,1,0
lễ_kỷ_niệm,1,0,0,1,0,0,1,0,1,1
lén_lút,0,1,1,0,1,1,0,0,1,0
lo_ngại,0,1,1,1,0,1,0,1,0,0
loét,0,1,1,0,1,1,0,1,0,0
lời_khen,1,0,0,1,0,0,1,0,1,1
lòng_tốt,1,0,0,1,0,0,1,0,1,1
ma_quỷ,0,1,1,0,1,1,0,1,0,0
mắc,0,1,0,1,1,0,0,1,1,0
mạnh_dần,1,0,0,1,0,0,1,0,1,1
mặt_trời,1,0,0,1,0,0,1,0,1,1
máu_me,0,1,1,0,1,1,0,1,0,0
máu_me_be_bét,0,1,1,0,1,1,0,1,0,0
mến_yêu,1,0,0,1,0,0,1,0,1,1
méo_mó,0,1,1,0,1,1,0,1,0,0
mối_lo,0,1,1,1,0,1,0,1,0,0
mong_mỏi,1,1,0,1,0,0,1,0,0,1
mong_ước,1,0,0,1,0,0,1,0,1,1
một_thần,0,1,0,1,1,1,0,1,0,0
mù_hoàn_toàn,0,1,0,1,1,1,0,1,0,0
nắm_lấy,1,0,0,1,0,0,1,0,1,1
nan_y,0,1,1,0,1,1,0,1,0,0
náo_nhiệt,1,1,1,1,0,0,1,0,0,0
nghèo_rớt_mồng_tơi,0,1,0,1,1,1,0,1,0,0
người_tình,1,0,0,1,0,0,1,1,0,1
người_yêu,1,0,0,1,0,0,1,1,0,1
nhăn_nhở,1,0,0,1,0,0,1,0,1,1
như_địa_ngục,0,1,1,0,1,1,0,1,0,0
nhục_nhã,0,1,1,0,1,1,0,1,0,0
nô_dịch,0,1,1,0,1,1,0,1,0,0
nữ_thần_báo_tử,0,1,1,0,1,1,0,1,0,0
nửa_người,0,1,0,0,1,1,0,1,1,0
ô_nhục,0,1,1,0,1,1,0,1,0,0
phaần_bù,1,0,0,1,0,0,1,0,1,1
phạm_tội_nghiêm_trọng,0,1,1,0,1,1,0,1,0,0
phản_bội,0,1,1,0,1,0,0,1,1,0
phế_tích,1,1,0,0,1,1,0,0,0,1
phép_màu,1,0,0,1,0,0,1,0,1,1
phụ_bạc,0,1,1,0,1,0,0,1,1,0
quái_thai,0,1,1,0,1,1,0,0,1,0
quỷ_quái,0,1,1,0,1,1,0,1,0,0
rạng_sáng,1,0,0,1,0,0,1,0,1,1
rối_rắm,0,1,1,0,1,1,0,1,0,0
rộng_lượng,1,0,0,1,0,0,1,0,1,1
sân_chơi,1,0,0,1,0,0,1,0,1,1
lộng_hành,0,1,1,0,1,1,0,1,0,0
ôm_hôn,1,0,0,1,0,0,1,0,1,1
tha_hóa,0,1,1,0,1,1,0,1,0,0
thù_oán,0,1,1,0,1,1,0,1,0,0
ủng_hộ_tích_cực,1,0,1,1,0,0,1,0,0,1
tài_năng,1,0,0,1,0,0,1,0,1,1
tán_dương,1,0,0,1,0,0,1,1,0,1
tàn_khốc,0,1,0,0,1,1,0,1,1,0
tàn_tích,1,1,0,0,1,1,0,0,0,1
tán_tụng,1,0,0,1,0,0,1,1,0,1
tăng_lên,1,0,0,1,0,1,1,0,1,0
tệ_hại,0,1,1,0,1,1,0,1,0,0
thái_dương,1,0,0,1,0,0,1,0,1,1
thảm_khốc,0,1,1,0,1,1,0,1,0,0
thẩm_mĩ,1,0,0,1,0,0,1,0,1,1
tham_nhũng,0,1,1,0,1,1,0,1,0,0
thần_kỳ,1,0,0,1,0,0,1,0,1,1
thánh_ca,1,0,1,1,0,0,1,0,1,0
thành_công,1,0,0,1,0,0,1,0,1,1
thành_kiến,0,1,1,0,1,1,0,1,0,0
thật_thà,1,0,0,1,0,0,1,0,1,1
thi_hài,1,1,0,0,1,1,0,0,0,1
thiện_trí,1,0,0,1,0,0,1,0,1,1
thợ_thủ_công,1,0,0,1,0,0,1,1,1,0
thối_nát,0,1,1,0,1,1,0,1,0,0
thông_cảm,1,0,0,0,0,1,1,1,0,1
thông_thạo,1,0,0,1,0,0,1,0,1,1
thù_địch,0,1,1,0,1,1,0,1,0,0
thú_vị,1,0,0,1,0,0,1,0,1,1
thu_xếp,1,0,0,1,0,0,1,0,1,1
thừa_kế,1,0,0,1,0,0,1,0,1,1
thương_lượng,1,0,0,1,0,0,1,0,1,1
tiến_lên,1,0,0,1,0,1,1,0,1,0
tin_mù_quáng,0,1,1,0,1,1,0,1,0,0
toe_toét,1,0,0,1,0,0,1,0,1,1
tối_tăm,0,1,1,0,1,1,0,1,0,0
tồi_tệ,0,1,1,0,1,1,0,1,0,0
tôn_vinh,1,0,0,1,0,0,1,0,1,1
tốt,1,0,0,1,0,0,1,0,1,1
trái_pháp_luật,0,1,1,0,1,1,0,1,0,0
trái_với_đạo_đức,0,1,1,0,1,1,0,1,0,0
tràn_trề_hy_vọng,1,0,0,1,0,0,1,0,1,1
trêu,1,1,0,1,0,0,1,0,1,0
triển_vọng,1,0,0,1,0,0,1,0,1,1
trình_bày,1,0,0,1,0,0,1,0,1,1
trình_diến,1,0,0,1,0,0,1,0,1,1
trống_trải,0,1,1,0,1,1,0,1,0,0
trục_xuất,0,1,1,0,1,1,0,1,0,0
tù_nhân,0,1,1,0,1,1,0,1,0,0
tử_tế,1,0,0,1,0,0,1,0,0,1
túng_quẫn,0,1,0,1,1,1,0,1,0,0
tưởng_tượng,1,1,0,1,0,0,1,0,0,0
vắng_vẻ,0,1,1,0,1,1,0,1,0,0
vấy_máu,0,1,1,0,1,1,0,1,0,0
vi_phạm,0,1,1,0,1,1,0,1,0,0
vĩnh_cửu,1,0,0,0,0,0,1,1,0,1
vịnh_nhỏ,0,0,0,0,0,0,0,0,0,0
vô_lễ,0,1,1,0,1,1,0,1,0,0
vô_tư,1,0,0,1,0,0,1,0,1,1
xâm_nhập,0,1,1,0,0,1,0,0,1,0
xem_thường,0,1,1,0,1,1,0,1,0,0
yêu_dấu,1,0,0,0,0,0,1,0,0,1
yêu_mến,1,0,0,0,0,0,1,0,0,1
yêu_thương,1,0,0,0,0,0,1,0,0,1
ác_độc,0,1,1,0,1,1,0,0,0,0
ái_ngại,0,1,0,0,1,1,0,1,0,0
âm_âm,0,1,0,0,1,1,0,1,0,0
âm_âm_u_u,0,1,0,0,1,1,0,1,0,0
âm_ỉ,0,1,1,0,1,1,0,0,0,0
ám_muội,0,1,1,0,1,1,0,0,0,0
âm_u,0,1,0,0,1,1,0,1,0,0
an_ủi,1,0,0,1,0,0,1,0,0,1
anh_hùng,1,0,0,0,0,0,1,0,1,1
bạc,1,0,0,1,0,0,1,0,0,1
ban_lệnh,1,0,0,1,0,0,1,0,0,1
ban_phúc,1,0,0,1,0,0,1,0,0,1
ban_phước,1,0,0,1,0,0,1,0,0,1
bạn_thân,1,0,0,1,0,0,1,0,0,1
báo_hại,0,1,1,0,1,0,0,1,0,0
bạo_lực,0,1,1,0,1,1,0,0,0,0
bạo_ngược,0,1,1,0,1,1,0,0,0,0
bảo_vệ,1,0,0,1,0,0,1,0,0,1
bắt_cóc,0,1,0,0,0,1,0,1,1,0
bất_công,0,1,1,0,1,0,0,1,0,0
bắt_ép,0,1,1,0,1,1,0,0,0,0
bất_hạnh,0,1,1,0,1,0,0,1,0,0
bất_lương,0,1,1,0,1,1,0,0,0,0
bất_ổn,0,1,1,0,0,1,0,1,0,0
bất_tiện,0,1,1,0,1,0,0,1,0,0
bất_tỉnh,0,1,0,1,0,1,0,0,1,0
bất_tỉnh_nhân_sự,0,1,0,1,0,1,0,0,1,0
bất_trị,0,1,1,1,0,0,0,0,1,0
bất_tuân,0,1,1,1,1,0,0,0,0,0
bậy_bạ,0,1,0,0,1,1,0,0,1,0
be_bét,0,1,1,0,1,1,0,0,0,0
bế_mạc,1,0,0,1,0,0,1,1,0,0
bềnh_bồng,0,0,1,1,0,1,1,0,0,0
bệnh_than,0,1,0,0,1,1,0,1,0,0
thất_sủng,0,1,1,0,1,0,0,1,0,0
tước_quyền_công_dân,0,1,0,1,0,1,0,1,0,0
biến_mất,0,1,0,0,0,1,0,1,1,0
biết_trước,1,0,0,1,0,0,0,0,1,1
bơi,1,0,0,1,0,1,1,0,0,0
bôi_bạc,0,1,1,0,1,1,0,0,0,0
bội_bạc,0,1,1,0,1,0,0,1,0,0
bồng_bềnh,0,0,1,1,0,1,1,0,0,0
brute,0,1,1,0,0,1,0,1,0,0
bửn,0,1,0,1,0,0,0,1,1,0
bừng_bừng_lửa_hận,0,1,1,1,1,0,0,0,0,0
bừng_sáng,1,0,0,1,0,0,1,0,0,1
buôn_lậu,0,1,1,0,1,1,0,0,0,0
buồn_phiền,0,1,1,0,0,1,0,1,0,0
cá_heo,1,0,0,0,0,0,1,0,1,1
cái_bổ_sung,1,0,0,1,0,0,1,0,0,1
cãi_nhau,0,1,1,0,1,1,0,0,0,0
căn_nguyên,1,0,0,1,0,0,1,0,0,1
cân_nhắc,1,0,0,1,0,0,1,0,0,1
cao_cả,1,0,0,0,0,0,1,0,1,1
cao_quý,1,0,0,0,0,0,1,0,1,1
cao_thượng,1,0,0,0,0,0,1,0,1,1
cấp_cứu,0,1,0,0,0,1,0,1,1,0
cau_có,0,1,1,0,1,0,0,1,0,0
cầu_kỳ,1,0,0,1,0,0,1,0,1,0
cau_mày,0,1,1,0,1,0,0,1,0,0
cay_đắng,0,1,1,0,1,0,0,1,0,0
chấm_dứt,1,0,0,1,0,0,1,1,0,0
chán_nản,0,1,1,0,0,1,0,1,0,0
chân_thành,1,0,0,1,0,0,1,0,0,1
cháu,1,0,0,1,0,0,1,0,0,1
châu_báu,1,0,0,1,0,0,1,0,0,1
chảy_máu,0,1,0,0,1,1,0,1,0,0
che_đậy,0,1,0,1,0,1,0,0,1,0
chèn_ép,0,1,1,0,1,1,0,0,0,0
chi_phối,1,1,1,0,0,1,0,0,0,0
chia_sẻ,1,0,0,1,0,0,1,0,0,1
chiếm_hữu,1,0,0,1,0,0,1,0,0,1
chiến_thắng,1,0,0,1,0,0,1,0,0,1
chiếu_sáng,1,0,0,1,0,0,1,0,1,0
chỗ_thần_bí,1,0,0,1,0,0,1,0,0,1
chơi_bời_phóng_đãng,0,1,0,0,1,0,1,0,1,0
chơi_khăm,0,1,1,0,1,0,0,1,0,0
chói_tai,0,1,1,0,1,1,0,0,0,0
chơi_xỏ,0,1,1,0,1,0,0,1,0,0
chót_lọt,1,0,0,1,0,0,1,0,0,1
chu_đáo,1,0,0,1,0,0,1,0,0,1
chú_hề,1,0,0,1,0,0,1,0,1,0
chữa_lành,1,0,0,1,0,0,1,0,0,1
chúa_tể,1,1,0,0,1,0,0,0,0,1
chứng_nào_tật_nấy,0,1,1,0,1,0,0,1,0,0
chuộc_lỗi,1,0,0,1,0,0,1,0,0,1
chuyến_đi,1,0,0,1,0,1,1,0,0,0
chuyện_yêu_đương,1,0,0,1,0,0,1,0,0,1
có_khả_năng_phối_hợp,1,0,0,1,0,0,1,0,0,1
có_khuynh_hướng_kết_hợp,1,0,0,1,0,0,1,0,0,1
có_lương_tâm,1,0,0,1,0,0,1,0,0,1
có_máu_nóng,0,1,1,0,1,1,0,0,0,0
có_mụn,0,1,0,1,1,0,0,1,0,0
có_mụn_nhọt,0,1,0,1,1,0,0,1,0,0
có_nhọt,0,1,0,1,1,0,0,1,0,0
có_thể_nhận_thức_được,1,0,0,1,0,0,0,0,1,1
có_ý_xấu,0,1,1,0,1,1,0,0,0,0
côn_đồ,0,1,1,0,1,1,0,0,0,0
công_hiệu,1,0,0,1,0,0,1,0,1,0
cưới_hỏi,1,0,0,1,0,0,1,0,0,1
cười_phá_lên,1,0,0,1,0,0,1,0,1,0
cứu_giúp,1,0,0,1,0,0,1,0,0,1
cứu_nguy,1,0,0,1,0,0,1,0,0,1
đa_cảm,0,1,0,0,0,1,1,1,0,0
đã_dọn_dẹp,1,0,0,1,0,0,1,0,1,0
đã_dọn_sạch,1,0,0,1,0,0,1,0,1,0
đã_phát_quang,1,0,0,1,0,0,1,0,1,0
đa_sầu_đa_cảm,0,1,0,0,0,1,1,1,0,0
đặc_hữu,0,1,0,0,1,1,0,1,0,0
đắc_thắng,1,0,0,1,0,0,1,0,0,1
đáng_nguyền_rủa,0,1,1,0,0,1,0,1,0,0
đau_buồn,0,1,1,0,0,1,0,1,0,0
đau_khổ,0,1,1,0,0,1,0,1,0,0
đẫy_đà,1,0,0,1,1,0,0,1,0,0
đay_nghiến,0,1,1,0,1,0,0,1,0,0
dễ_ấn_tượng,1,0,0,1,0,0,1,0,1,0
dễ_bị_ấn_tượng,1,0,0,1,0,0,1,0,1,0
dễ_nổi_cáu,0,1,1,0,1,1,0,0,0,0
đền_tội,1,0,0,1,0,0,1,0,0,1
dị,0,1,0,0,1,1,0,0,1,0
điên_dại,0,1,1,0,0,1,0,1,0,0
diệu_kì,1,0,0,1,0,0,1,0,1,0
điều_sung_sướng,1,0,0,1,0,0,1,0,0,1
điêu_trá,0,1,1,0,1,0,0,0,1,0
đính_hôn,1,0,0,1,0,0,1,0,0,1
dỗ_dành,1,0,0,1,0,0,1,0,0,1
đoàn_kết,1,0,0,1,0,0,1,0,0,1
độc_tài,0,1,1,0,1,1,0,0,0,0
đóng_kín,1,0,0,1,0,0,1,1,0,0
đốt_lửa_cháy,0,1,1,0,0,1,0,0,1,0
dữ,0,1,1,0,1,1,0,0,0,0
dữ_tợn,0,1,1,0,1,1,0,0,0,0
dũng_cảm,1,0,0,1,0,0,1,0,0,1
đụng_độ,0,1,1,0,0,1,0,1,0,0
dưới_chiều_cao_trung_bình,0,1,0,1,0,0,0,1,1,0
ép_buộc,0,1,1,0,1,1,0,0,0,0
gan_dạ,1,0,0,1,0,0,1,0,0,1
gắt_gỏng,0,1,1,0,1,0,0,1,0,0
gây_ấn_tượng,1,0,0,1,0,0,1,0,1,0
gây_bạo_động,0,1,1,0,0,1,0,0,1,0
gãy_khúc,0,1,1,0,1,0,0,0,1,0
gây_tai_họa,0,1,1,0,0,1,0,1,0,0
ghê_rợn,0,1,0,0,1,1,0,0,1,0
ghê_sợ,0,1,1,0,0,1,0,1,0,0
ghê_tởm,0,1,0,0,1,1,0,1,0,0
ghét,0,1,1,0,1,1,0,0,0,0
ghi_bàn,1,0,0,1,0,0,1,0,1,0
giải_phóng,1,0,0,1,0,0,1,0,1,0
giải_thoát,1,0,0,1,0,0,1,0,0,1
giảm_giá_trị,0,1,1,0,1,0,0,1,0,0
giáo_hội,1,0,0,1,0,0,1,0,0,1
giàu_ý_tưởng,1,0,0,1,0,0,1,0,1,0
gớm_guốc,0,1,0,0,1,1,0,1,0,0
hai_lòng,0,1,1,0,1,0,0,1,0,0
hại_sức_khỏe,0,1,0,0,1,1,0,1,0,0
hăm_hở,1,0,0,1,0,0,1,0,0,1
hân_hoan,1,0,0,1,0,0,1,0,0,1
hang_hái,1,0,0,1,0,0,1,0,0,1
hạng_sang,1,0,0,1,0,0,1,0,1,0
hãnh_diện,1,0,0,1,0,0,1,0,0,1
hạnh_phúc,1,0,0,1,0,0,1,0,0,1
hành_trình,1,0,0,1,0,1,1,0,0,0
hao_mòn,0,1,0,0,1,1,0,1,0,0
háo_sắc,0,1,1,0,1,1,0,0,0,0
hay_rầy_la,0,1,1,0,1,1,0,0,0,0
hay_thù_hằn,0,1,1,0,1,1,0,0,0,0
hay_vui_đùa,1,0,0,1,0,0,1,0,1,0
héo_hon,0,1,0,0,1,0,0,1,1,0
hổ_thẹn,0,1,1,0,1,0,0,1,0,0
hoài_bão,1,0,0,1,0,0,1,0,0,1
hoàng_kim,1,0,0,1,0,0,1,0,0,1
hốc_hác,0,1,0,1,0,0,0,1,1,0
hôi,0,1,1,0,1,1,0,0,0,0
hồi_hộp,1,0,0,1,0,0,1,0,1,0
hồi_phục,1,0,0,1,0,0,1,0,0,1
hớn_hở,1,0,0,1,0,0,1,0,1,0
hôn_nhân,1,0,0,1,0,0,1,0,0,1
hống_hách,0,1,1,0,1,1,0,0,0,0
hứa_hẹn,1,0,0,1,0,0,1,0,0,1
hung_ác,0,1,1,0,1,1,0,0,0,0
hưng_thịnh,1,0,0,1,0,0,1,0,0,1
hứng_thú,1,0,0,1,0,0,1,0,1,0
hưởng_thụ,1,0,0,1,0,0,1,0,0,1
hủy_diệt,0,1,1,0,0,1,0,1,0,0
im_ắng,0,1,0,0,0,1,0,1,1,0
im_bặt,0,1,0,0,0,1,0,1,1,0
inh_tai_nhức_óc,0,1,1,0,1,1,0,0,0,0
kẻ_ám_sát,0,1,1,0,0,1,0,1,0,0
kẻ_thù,0,1,1,0,1,1,0,0,0,0
kết_đôi,1,0,0,1,0,0,1,0,0,1
kết_thúc,1,0,0,1,0,0,1,1,0,0
khẩn_cấp,0,1,0,0,0,1,0,1,1,0
khao_khát,1,0,0,1,0,0,1,0,0,1
khát_vọng,1,0,0,1,0,0,1,0,0,1
khéo_léo,1,0,0,1,0,0,1,0,1,0
khép_mình,0,1,0,0,1,1,0,1,0,0
khó_chịu,0,1,1,0,1,0,0,1,0,0
