word,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
từ_bỏ,0,1,0,0,0,0,0,1,0,0
vuốt_ve,0,0,0,1,0,0,0,0,0,0
bảo_đảm,1,0,0,0,0,0,0,0,0,1
bắt_buộc,0,0,0,0,0,0,0,0,0,0
bưng_bít,0,1,0,0,0,0,0,0,0,0
che_giấu,0,1,0,0,0,0,0,0,0,0
động,0,0,0,0,0,0,0,0,0,0
hư,0,1,0,0,0,0,0,0,0,0
nghi_vấn,0,0,0,0,0,0,0,0,0,0
nhiễm_trùng,0,1,0,0,1,1,0,0,0,0
sờn,0,1,0,0,0,0,0,1,0,0
táo_bón,0,1,0,0,0,0,0,0,0,0
thất_bại,0,1,0,0,0,0,0,1,0,0
từ,0,0,0,0,0,0,0,0,0,0
cai_trị,0,0,0,0,0,0,0,0,0,1
cản_trở,0,1,0,0,0,0,0,0,0,0
che_chở,0,0,0,0,0,0,0,0,0,1
chiếm_đóng,0,1,0,0,0,1,0,0,0,0
kết_hợp,0,0,0,0,0,0,0,0,0,0
khôn_ngoan,1,0,0,1,0,0,0,0,0,0
mòn,0,1,0,0,0,0,0,0,0,0
phù_hợp,0,0,0,0,0,0,0,0,0,0
sáng_ngời,1,0,0,1,0,0,1,0,0,1
ân_xá,1,0,0,0,0,0,0,0,0,0
đối_lập,0,0,0,0,0,0,0,0,0,0
hủy_bỏ,0,1,0,0,0,0,0,0,0,0
tính_toán,0,0,0,0,0,0,0,0,0,0
trao_đổi,0,0,0,0,0,0,0,0,0,0
bại_sản,0,1,0,0,0,0,0,0,0,0
bắt_chước,0,0,0,0,0,0,0,0,0,0
cấm,0,1,0,0,0,0,0,0,0,0
chặn,0,1,0,0,0,0,0,0,0,0
điên,0,1,1,0,0,0,0,0,0,0
ngăn,0,0,0,0,0,0,0,0,0,0
nhiễm_bẩn,0,1,0,0,0,0,0,0,0,0
nhiễm_độc,0,1,0,0,0,0,0,0,0,0
thần_kinh,0,1,1,0,1,1,0,0,0,0
thiệt_thòi,0,1,0,0,0,0,0,1,0,0
đi_lên,1,0,0,1,0,0,1,0,0,1
ban_cho,1,0,0,1,0,0,0,0,0,0
công_nhận,1,0,0,1,0,0,0,0,0,1
liên_hợp,0,0,0,0,0,0,0,0,0,0
thích_nghi,0,0,0,0,0,0,0,0,0,0
xây_dựng,0,0,0,0,0,0,0,0,0,0
tăng,1,0,0,0,0,0,0,0,0,0
ướt,0,0,0,0,0,0,0,0,0,0
ảnh_hưởng,0,1,0,0,0,0,0,0,0,0
bổ,1,0,0,0,0,0,0,0,0,1
cạn,0,1,0,0,0,0,0,0,0,0
cắt,0,0,0,0,0,0,0,0,0,0
đánh_thuế,0,0,0,0,0,0,0,0,0,0
ngăn_chặn,0,0,0,0,0,0,0,0,0,1
phủ,0,0,0,0,0,0,0,0,1,0
suy_dinh_dưỡng,0,1,0,0,0,0,0,0,0,0
thất_lạc,0,1,0,0,0,1,0,1,0,0
bỏ_đạo,0,0,0,0,0,0,0,0,0,0
trùng_hợp,0,0,0,0,0,0,0,0,1,0
